id,state,name,address_line1,address_line2,city,district,pin_code
3254,Tamil Nadu,"Vanavil Arts &Science College,Thayappa Gounder Street,Natrampaal-635 852","Thayappa Gounder Street,Natrampaal-635 852",NA,vaniyambadi,Vellore,635852
3255,Tamil Nadu,"VANDAVASI POLYTECHNIC COLLEGE, VANDAVASI",MELMARUVATHUR SAALAI,CHENNAVARAM VILLAGE,VANDAVASI TALUK,Tiruvannamalai,604408
3256,Tamil Nadu,Vandayar College of Education,Pulavarnatham,Nagai Main Road,Thanjavur,Thanjavur,613501
3257,Tamil Nadu,Vandayar Engineering College,"Pulavarnatham post,",Mariammankovil via,Thanjavur 613501,Thanjavur,613501
3258,Tamil Nadu,VANDAYAR POLYTECHNIC COLLEGE PULAVARNATHAM,"Pulavarnatham post,","Mariammankovil via,",Thanjavur -613501,Thanjavur,613501
3259,Tamil Nadu,VANDAYAR TEACHER TRAINING INSTITUTE MARIAMMAN KOVIL,"Pulavarnatham, mariamman kovil(via),",Thanjavur,Thanjavur,Thanjavur,613501
3260,Tamil Nadu,"VARADHARAJAN POLYTECHNIC COLLEGE, MUTHAL VARISAIPATTI, KUNNAM","Muthal varisaipatti, kelamathur post, kunnam taluk",near marudhaiyan kovil,perambalur,Perambalur,621713
3261,Tamil Nadu,Varuvan Vadivelan Institute of Technology,"NH7,Krishnagiri main road",Gundalapatti,Dharmapuri,Dharmapuri,636703
3262,Tamil Nadu,"VASAN INSTITUTE OF OPHTHALMOLOGY & RESEARCH (Inst. Code - 424), CHENNAI","120A, BAZAAR ROAD, SAIDAPET",NA,CHENNAI,Chennai,600015
3263,Tamil Nadu,Vasavi Vidya Trust Group of Institutions Faculty of MBA,MASINAICKENPATTY,AYOTHIYAPATTNAM(PO),SALEM,Salem,636103
3264,Tamil Nadu,VASU TEACHER TRAINING INSTITUTE TIRUNAGAR,"12A,2 RANGANATHAN STREET, THIRUNAGAR",MADURAI-625006,MADURAI,Madurai,625006
3265,Tamil Nadu,Vathsala Johnson College of Teacher Education,"83 A /23 VISALAKSHI NAGAR,SIVAKASI",NA,SIVAKASI,Virudhunagar,626184
